,skill,difficulty,question,ideal_answer,answer,label,cos_similarity,length_ratio,aligned_score,source,skills_multi,word_count,tags,primary_tag,ideal_answer_available,bert_score,tfidf_score
160,System Design,Medium,What is AWS Lambda and how does serverless work?,"AWS Lambda is a serverless compute service that runs code in response to events without managing servers. Lambda functions are triggered by events like file uploads to S3 API calls or database changes. Common use cases include image compression when files are uploaded, sending automated emails on user signup, and data processing pipelines. Serverless does not mean no servers exist but means you do not manage the servers. You only pay for the number of executions not for server uptime making it cost effective for event-driven workloads.",AWS Lambda is a serverless compute service that runs code in response to events without managing servers.,Average,0.63,0.38,0.46,combined,System Design,17,"['architecture', 'scalability']",architecture,1,0.9051207304000001,0.4579654171
161,System Design,Medium,What is AWS Lambda and how does serverless work?,"AWS Lambda is a serverless compute service that runs code in response to events without managing servers. Lambda functions are triggered by events like file uploads to S3 API calls or database changes. Common use cases include image compression when files are uploaded, sending automated emails on user signup, and data processing pipelines. Serverless does not mean no servers exist but means you do not manage the servers. You only pay for the number of executions not for server uptime making it cost effective for event-driven workloads.","AWS Lambda is a serverless compute service that runs code in response to events without managing servers. Lambda functions are triggered by events like file uploads to S3 API calls or database changes. Common use cases include image compression when files are uploaded, sending automated emails on user signup, and data processing pipelines. Serverless does not mean no servers exist but means you do not manage the servers. You only pay for the number of executions not for server uptime making it cost effective for event-driven workloads.",Good,0.91,1.0,0.87,combined,System Design,87,"['architecture', 'scalability']",architecture,1,1.0,1.0
162,System Design,Hard,Build a scalable image processing pipeline for a photo-sharing app.,"Implement distributed processing, efficient storage, and consider ML techniques for feature extraction.","Implement distributed processing, efficient storage, and consider ML techniques for feature extraction.",Good,0.9,1.0,0.85,combined,System Design,12,"['architecture', 'scalability']",architecture,1,1.0,1.0
163,DBMS,Hard,Optimize database queries for a high-traffic website.,"Focus on indexing, query optimization, using caching, database sharding, and efficient schema design.","Focus on indexing, query optimization, using caching, database sharding, and efficient schema design.",Average,0.65,0.45,0.5,combined,DBMS,13,"['sql', 'relational']",sql,1,1.0,1.0
164,CN,Medium,How do you protect against session fixation attacks?,"Protect by regenerating session IDs post-authentication, using unpredictable IDs, and tying IDs to user authentication.","Protect by regenerating session IDs post-authentication, using unpredictable IDs, and tying IDs to user authentication.",Average,0.65,0.45,0.5,combined,CN,15,"['networking', 'protocols']",networking,1,1.0,1.0
165,System Design,Medium,What is a CDN (Content Delivery Network)?,"A CDN is a network of servers for delivering content efficiently to users based on geographic proximity, reducing latency and load times.","A CDN is a network of servers for delivering content efficiently to users based on geographic proximity, reducing latency and load times.",Good,0.9,1.0,0.85,combined,"CN,System Design",22,"['architecture', 'scalability']",architecture,1,1.0000002384,1.0
166,System Design,Medium,What is cloud computing and what is AWS?,Cloud computing is the delivery of computing services like servers storage databases networking and software over the internet instead of using physical hardware. AWS or Amazon Web Services is a cloud computing platform provided by Amazon offering a wide range of services for building deploying and managing applications and infrastructure. Companies use AWS instead of maintaining physical on-premise servers because AWS provides pay as you go pricing autoscaling high availability disaster recovery and advanced security.,Cloud computing is the delivery of computing services like servers storage databases networking and software over the internet instead of using physical hardware.,Average,0.63,0.38,0.46,combined,System Design,23,"['architecture', 'scalability']",architecture,1,0.7925753593,0.5640023097
167,System Design,Medium,What is cloud computing and what is AWS?,Cloud computing is the delivery of computing services like servers storage databases networking and software over the internet instead of using physical hardware. AWS or Amazon Web Services is a cloud computing platform provided by Amazon offering a wide range of services for building deploying and managing applications and infrastructure. Companies use AWS instead of maintaining physical on-premise servers because AWS provides pay as you go pricing autoscaling high availability disaster recovery and advanced security.,Cloud computing is the delivery of computing services like servers storage databases networking and software over the internet instead of using physical hardware. AWS or Amazon Web Services is a cloud computing platform provided by Amazon offering a wide range of services for building deploying and managing applications and infrastructure. Companies use AWS instead of maintaining physical on-premise servers because AWS provides pay as you go pricing autoscaling high availability disaster recovery and advanced security.,Good,0.91,1.0,0.87,combined,System Design,75,"['architecture', 'scalability']",architecture,1,1.0000001192,1.0
168,OOP,Medium,How do you handle routing in Express.js?,Routing in Express.js is handled using the router class which allows defining routes for different parts of the application. Instead of putting all routes in a single file you can create separate router modules for different sections like about or user. Each router handles specific paths and HTTP methods. The main application imports and uses these routers making the code modular readable and easier to maintain.,Routing in Express.js is handled using the router class which allows defining routes for different parts of the application. Instead of putting all routes in a single file you can create separate router modules for different sections like about or user. Each router handles specific paths and HTTP methods. The main application imports and uses these routers making the code modular readable and easier to maintain.,Good,0.92,1.0,0.88,combined,OOP,66,"['oop-principles', 'design']",oop-principles,1,1.0000001192,1.0
169,System Design,Hard,Design a chat application that can scale to millions of users.,"Consider websocket protocol for real-time communication, efficient message broadcasting, and scalable backend architecture.","Consider websocket protocol for real-time communication, efficient message broadcasting, and scalable backend architecture.",Good,0.9,1.0,0.85,combined,System Design,13,"['architecture', 'scalability']",architecture,1,1.0000001192,1.0
170,System Design,Medium,What is Amazon S3 and what are its storage classes?,Amazon S3 or Simple Storage Service is a scalable object storage service that stores data as objects inside buckets with globally unique names. S3 Standard is for frequently accessed data. S3 Intelligent-Tiering automatically moves data between tiers based on access patterns. S3 Standard-IA is for infrequently accessed data. S3 Glacier Instant Retrieval is for archival data needing occasional access. S3 Glacier Deep Archive is for long-term archival data rarely accessed. Objects have keys as unique identifiers and S3 supports versioning and encryption.,Amazon S3 or Simple Storage Service is a scalable object storage service that stores data as objects inside buckets with globally unique names. S3 Standard is for frequently accessed data. S3 Intelligent-Tiering automatically moves data between tiers based on access patterns. S3 Standard-IA is for infrequently accessed data. S3 Glacier Instant Retrieval is for archival data needing occasional access. S3 Glacier Deep Archive is for long-term archival data rarely accessed. Objects have keys as unique identifiers and S3 supports versioning and encryption.,Good,0.91,1.0,0.87,combined,System Design,82,"['architecture', 'scalability']",architecture,1,1.0,1.0
171,System Design,Medium,What is Amazon S3 and what are its storage classes?,Amazon S3 or Simple Storage Service is a scalable object storage service that stores data as objects inside buckets with globally unique names. S3 Standard is for frequently accessed data. S3 Intelligent-Tiering automatically moves data between tiers based on access patterns. S3 Standard-IA is for infrequently accessed data. S3 Glacier Instant Retrieval is for archival data needing occasional access. S3 Glacier Deep Archive is for long-term archival data rarely accessed. Objects have keys as unique identifiers and S3 supports versioning and encryption.,Amazon S3 or Simple Storage Service is a scalable object storage service that stores data as objects inside buckets with globally unique names.,Average,0.63,0.38,0.46,combined,System Design,23,"['architecture', 'scalability']",architecture,1,0.9159196019,0.5159447086
172,OS,Medium,"What is Kubernetes, and why is it popular in container management?","Kubernetes is an open-source container orchestration platform automating deployment and management, known for its scalability and community support.","Kubernetes is an open-source container orchestration platform automating deployment and management, known for its scalability and community support.",Good,0.9,1.0,0.85,combined,OS,18,"['concurrency', 'memory-management']",concurrency,1,1.0,1.0
173,HR,Easy,Tell me about a time you had a disagreement with your manager or team member.,Describe a specific situation where you had a disagreement and focus on how you handled it constructively. Show that you actively listened to understand the other perspective collaborated to find common ground and compromised to reach a solution that worked for everyone. Emphasize the positive outcome and what you learned from the experience about conflict resolution.,Describe a specific situation where you had a disagreement and focus on how you handled it constructively. Show that you actively listened to understand the other perspective collaborated to find common ground and compromised to reach a solution that worked for everyone. Emphasize the positive outcome and what you learned from the experience about conflict resolution.,Good,0.91,1.0,0.87,combined,HR,56,"['behavioral', 'soft-skills']",behavioral,1,1.0,1.0
174,HR,Easy,Tell me about a time you had a disagreement with your manager or team member.,Describe a specific situation where you had a disagreement and focus on how you handled it constructively. Show that you actively listened to understand the other perspective collaborated to find common ground and compromised to reach a solution that worked for everyone. Emphasize the positive outcome and what you learned from the experience about conflict resolution.,Describe a specific situation where you had a disagreement and focus on how you handled it constructively.,Average,0.62,0.38,0.45,combined,HR,17,"['behavioral', 'soft-skills']",behavioral,1,0.8308447599000001,0.37997836160000004
175,System Design,Hard,Build a high-frequency trading system and discuss its components.,"Focus on low latency, high throughput, reliable data feeds, order execution systems, and concurrent algorithms.","Focus on low latency, high throughput, reliable data feeds, order execution systems, and concurrent algorithms.",Average,0.65,0.45,0.5,combined,System Design,15,"['architecture', 'scalability']",architecture,1,1.0,1.0
176,Python,Easy,What is slicing in Python and where do you use it?,Slicing is used to extract a specific part of a sequence like a string list or tuple. You use slicing when you want only a portion of the data rather than the whole sequence. For example to get the middle name from a full name string or to reverse a string by using a step of minus one. It uses the format start colon stop colon step.,Slicing is used to extract a specific part of a sequence like a string list or tuple.,Average,0.63,0.38,0.46,combined,Python,17,"['python-core', 'syntax']",python-core,1,0.9067810178,0.5396385047
177,Python,Easy,What is slicing in Python and where do you use it?,Slicing is used to extract a specific part of a sequence like a string list or tuple. You use slicing when you want only a portion of the data rather than the whole sequence. For example to get the middle name from a full name string or to reverse a string by using a step of minus one. It uses the format start colon stop colon step.,Slicing is used to extract a specific part of a sequence like a string list or tuple. You use slicing when you want only a portion of the data rather than the whole sequence. For example to get the middle name from a full name string or to reverse a string by using a step of minus one. It uses the format start colon stop colon step.,Good,0.91,1.0,0.87,combined,Python,67,"['python-core', 'syntax']",python-core,1,1.0,1.0
178,OOP,Medium,Explain long polling in web development.,Long polling is a method used to establish real time communication between a server and a client usually a web browser. With this technique real time updates can be created without constant polling as the server can send updates to the client as soon as new data becomes available.,Long polling is a method used to establish real time communication between a server and a client usually a web browser.,Average,0.63,0.4,0.48,combined,OOP,21,"['oop-principles', 'design']",oop-principles,1,0.9692445993000001,0.6942866525
179,OOP,Medium,Explain long polling in web development.,Long polling is a method used to establish real time communication between a server and a client usually a web browser. With this technique real time updates can be created without constant polling as the server can send updates to the client as soon as new data becomes available.,Long polling is a method used to establish real time communication between a server and a client usually a web browser. With this technique real time updates can be created without constant polling as the server can send updates to the client as soon as new data becomes available.,Good,0.92,1.0,0.88,combined,OOP,49,"['oop-principles', 'design']",oop-principles,1,1.0,1.0
180,HR,Easy,Tell me about a time when you had to explain a technical concept to a non-technical person.,Describe a situation where you translated complex technical knowledge into simple understandable language for a non-technical stakeholder. Explain the approach you used such as analogies or visual aids to make the concept clear. Highlight that you confirmed understanding and adjusted your explanation based on their feedback. Emphasize the importance of clear communication across different teams.,Describe a situation where you translated complex technical knowledge into simple understandable language for a non-technical stakeholder.,Average,0.62,0.38,0.45,combined,HR,17,"['behavioral', 'soft-skills']",behavioral,1,0.9082610607,0.46390018730000004
181,HR,Easy,Tell me about a time when you had to explain a technical concept to a non-technical person.,Describe a situation where you translated complex technical knowledge into simple understandable language for a non-technical stakeholder. Explain the approach you used such as analogies or visual aids to make the concept clear. Highlight that you confirmed understanding and adjusted your explanation based on their feedback. Emphasize the importance of clear communication across different teams.,Describe a situation where you translated complex technical knowledge into simple understandable language for a non-technical stakeholder. Explain the approach you used such as analogies or visual aids to make the concept clear. Highlight that you confirmed understanding and adjusted your explanation based on their feedback. Emphasize the importance of clear communication across different teams.,Good,0.91,1.0,0.87,combined,HR,55,"['behavioral', 'soft-skills']",behavioral,1,1.0000002384,1.0
182,DBMS,Medium,Explain the difference between INNER JOIN and LEFT JOIN in SQL.,INNER JOIN returns matching rows from both tables; LEFT JOIN returns all rows from the left table and matching rows from the right.,INNER JOIN returns matching rows from both tables; LEFT JOIN returns all rows from the left table and matching rows from the right.,Average,0.65,0.45,0.5,combined,DBMS,23,"['sql', 'relational']",sql,1,0.9999999404000001,1.0
183,HR,Easy,Tell me about yourself.,Keep it short simple and clear. Mention a few key points about your background experience and what is relevant for the role you are interviewing for. Focus on what you want the interviewer to remember after the interview. Briefly cover your education technical skills and most relevant experience without going into too much detail.,Keep it short simple and clear.,Poor,0.62,0.38,0.45,combined,HR,6,"['behavioral', 'soft-skills']",behavioral,1,0.3324927092,0.23931183820000002
184,HR,Easy,Tell me about yourself.,Keep it short simple and clear. Mention a few key points about your background experience and what is relevant for the role you are interviewing for. Focus on what you want the interviewer to remember after the interview. Briefly cover your education technical skills and most relevant experience without going into too much detail.,Keep it short simple and clear. Mention a few key points about your background experience and what is relevant for the role you are interviewing for. Focus on what you want the interviewer to remember after the interview. Briefly cover your education technical skills and most relevant experience without going into too much detail.,Good,0.91,1.0,0.87,combined,HR,54,"['behavioral', 'soft-skills']",behavioral,1,1.0000001192,1.0
185,OS,Medium,What is the difference between virtualization and containerization?,Virtualization uses a hypervisor to create multiple virtual machines on a single physical server where each VM has its own complete operating system including the kernel. Containerization uses a container engine like Docker where multiple containers share the host operating system kernel but each container has its own isolated filesystem and libraries. Containers are much more lightweight and faster than VMs because they do not need a full OS. VMs provide stronger isolation while containers are more portable and efficient.,Virtualization uses a hypervisor to create multiple virtual machines on a single physical server where each VM has its own complete operating system including the kernel.,Average,0.63,0.38,0.46,combined,OS,26,"['concurrency', 'memory-management']",concurrency,1,0.7651226521000001,0.5003380521
186,OS,Medium,What is the difference between virtualization and containerization?,Virtualization uses a hypervisor to create multiple virtual machines on a single physical server where each VM has its own complete operating system including the kernel. Containerization uses a container engine like Docker where multiple containers share the host operating system kernel but each container has its own isolated filesystem and libraries. Containers are much more lightweight and faster than VMs because they do not need a full OS. VMs provide stronger isolation while containers are more portable and efficient.,Virtualization uses a hypervisor to create multiple virtual machines on a single physical server where each VM has its own complete operating system including the kernel. Containerization uses a container engine like Docker where multiple containers share the host operating system kernel but each container has its own isolated filesystem and libraries. Containers are much more lightweight and faster than VMs because they do not need a full OS. VMs provide stronger isolation while containers are more portable and efficient.,Good,0.91,1.0,0.87,combined,OS,80,"['concurrency', 'memory-management']",concurrency,1,1.0,1.0
187,System Design,Medium,What is AWS Elastic Beanstalk and when do you use it?,AWS Elastic Beanstalk is a fully managed Platform as a Service that enables developers to deploy and scale web applications without managing the underlying infrastructure. It supports multiple programming languages including Java Python Node.js PHP Ruby and Go. Beanstalk automatically handles OS updates security patching load balancing autoscaling and monitoring. You use Beanstalk when you want to deploy applications quickly without worrying about infrastructure. Use EC2 instead when you need full control over the server environment.,AWS Elastic Beanstalk is a fully managed Platform as a Service that enables developers to deploy and scale web applications without managing the underlying infrastructure.,Average,0.63,0.38,0.46,combined,System Design,25,"['architecture', 'scalability']",architecture,1,0.9265943766,0.5245771153000001
188,System Design,Medium,What is AWS Elastic Beanstalk and when do you use it?,AWS Elastic Beanstalk is a fully managed Platform as a Service that enables developers to deploy and scale web applications without managing the underlying infrastructure. It supports multiple programming languages including Java Python Node.js PHP Ruby and Go. Beanstalk automatically handles OS updates security patching load balancing autoscaling and monitoring. You use Beanstalk when you want to deploy applications quickly without worrying about infrastructure. Use EC2 instead when you need full control over the server environment.,AWS Elastic Beanstalk is a fully managed Platform as a Service that enables developers to deploy and scale web applications without managing the underlying infrastructure. It supports multiple programming languages including Java Python Node.js PHP Ruby and Go. Beanstalk automatically handles OS updates security patching load balancing autoscaling and monitoring. You use Beanstalk when you want to deploy applications quickly without worrying about infrastructure. Use EC2 instead when you need full control over the server environment.,Good,0.91,1.0,0.87,combined,System Design,76,"['architecture', 'scalability']",architecture,1,1.0000001192,1.0
189,OS,Hard,Implement a garbage collector for a programming language.,"Understand memory management concepts like mark-and-sweep, reference counting, and generational collection.","Understand memory management concepts like mark-and-sweep, reference counting, and generational collection.",Good,0.9,1.0,0.85,combined,OS,11,"['concurrency', 'memory-management']",concurrency,1,1.0000001192,1.0
190,System Design,Hard,How do you ensure data consistency in a distributed database?,"Ensure consistency using strong consistency models, two-phase commits, optimistic concurrency control, and conflict resolution strategies.","Ensure consistency using strong consistency models, two-phase commits, optimistic concurrency control, and conflict resolution strategies.",Average,0.65,0.45,0.5,combined,System Design,15,"['architecture', 'scalability']",architecture,1,1.0000001192,1.0
191,OS,Medium,What are the different service types in Kubernetes?,ClusterIP is the default service type that provides internal cluster communication only with no external access. NodePort exposes the application on a specific port on every node allowing external access. LoadBalancer exposes the application to the internet using a cloud provider load balancer. ExternalName maps a service to an external DNS name. Ingress is not a service type but acts as a layer 7 load balancer that routes HTTP traffic to different services based on rules.,ClusterIP is the default service type that provides internal cluster communication only with no external access. NodePort exposes the application on a specific port on every node allowing external access. LoadBalancer exposes the application to the internet using a cloud provider load balancer. ExternalName maps a service to an external DNS name. Ingress is not a service type but acts as a layer 7 load balancer that routes HTTP traffic to different services based on rules.,Good,0.91,1.0,0.87,combined,OS,76,"['concurrency', 'memory-management']",concurrency,1,1.0000001192,1.0
192,OS,Medium,What are the different service types in Kubernetes?,ClusterIP is the default service type that provides internal cluster communication only with no external access. NodePort exposes the application on a specific port on every node allowing external access. LoadBalancer exposes the application to the internet using a cloud provider load balancer. ExternalName maps a service to an external DNS name. Ingress is not a service type but acts as a layer 7 load balancer that routes HTTP traffic to different services based on rules.,ClusterIP is the default service type that provides internal cluster communication only with no external access.,Average,0.63,0.38,0.46,combined,OS,16,"['concurrency', 'memory-management']",concurrency,1,0.7783590555000001,0.484541673
193,System Design,Hard,Design an API rate limiter for a web service.,"Use token bucket or leaky bucket algorithms, consider distributed storage for scalability.","Use token bucket or leaky bucket algorithms, consider distributed storage for scalability.",Average,0.65,0.45,0.5,combined,"CN,System Design",12,"['architecture', 'scalability']",architecture,1,1.0,1.0
194,Python,Medium,What is the purpose of package.json?,"Package.json serves as the central configuration file for a Node.js project. It contains important information about the project including the project name version and description, dependency management listing all required packages and their versions, scripts for running tests building and starting the application, metadata about the project, and configuration settings for various tools and frameworks.","Package.json serves as the central configuration file for a Node.js project. It contains important information about the project including the project name version and description, dependency management listing all required packages and their versions, scripts for running tests building and starting the application, metadata about the project, and configuration settings for various tools and frameworks.",Good,0.92,1.0,0.88,combined,Python,55,"['python-core', 'syntax']",python-core,1,1.0,1.0
195,System Design,Hard,Design a scalable notification system for a social network.,"Focus on system architecture, push vs. pull models, handling peak loads, database optimization, and message queuing.","Focus on system architecture, push vs. pull models, handling peak loads, database optimization, and message queuing.",Good,0.9,1.0,0.85,combined,"CN,System Design",16,"['architecture', 'scalability']",architecture,1,1.0000001192,1.0
196,System Design,Hard,Design a scalable notification system for a social network.,"Focus on system architecture, push vs. pull models, handling peak loads, database optimization, and message queuing.","Focus on system architecture, push vs.",Poor,0.65,0.45,0.5,combined,"CN,System Design",6,"['architecture', 'scalability']",architecture,1,0.7178407311,0.42856934500000005
197,OS,Medium,What is continuous integration in DevOps?,Continuous integration is the practice of automating the integration of code changes into a software project.,Continuous integration is the practice of automating the integration of code changes into a software project.,Average,0.65,0.45,0.5,combined,OS,16,"['concurrency', 'memory-management']",concurrency,1,1.0,1.0
198,OOP,Medium,How does a web browser render a web page?,"Browsers parse HTML to create a DOM, fetch resources, build a rendering tree, apply CSS, calculate layout, and paint the page on the screen.","Browsers parse HTML to create a DOM, fetch resources, build a rendering tree, apply CSS, calculate layout, and paint the page on the screen.",Average,0.65,0.45,0.5,combined,OOP,24,"['oop-principles', 'design']",oop-principles,1,1.0000002384,1.0
199,System Design,Medium,How do you handle logging and monitoring in a distributed microservices system?,Use centralized logging tools like the ELK stack Elasticsearch Logstash and Kibana or Loki to aggregate logs from all services in one place. Implement structured logging with consistent formats including timestamps service names and trace IDs. Use Prometheus for metrics collection and Grafana for visualization and dashboards. Set up alerts for error rates latency and resource thresholds. Implement distributed tracing with Jaeger or Zipkin to track requests across multiple services. Use log levels appropriately to control verbosity.,Use centralized logging tools like the ELK stack Elasticsearch Logstash and Kibana or Loki to aggregate logs from all services in one place. Implement structured logging with consistent formats including timestamps service names and trace IDs. Use Prometheus for metrics collection and Grafana for visualization and dashboards. Set up alerts for error rates latency and resource thresholds. Implement distributed tracing with Jaeger or Zipkin to track requests across multiple services. Use log levels appropriately to control verbosity.,Good,0.91,1.0,0.87,combined,System Design,77,"['architecture', 'scalability']",architecture,1,1.0000001192,1.0
200,System Design,Medium,How do you handle logging and monitoring in a distributed microservices system?,Use centralized logging tools like the ELK stack Elasticsearch Logstash and Kibana or Loki to aggregate logs from all services in one place. Implement structured logging with consistent formats including timestamps service names and trace IDs. Use Prometheus for metrics collection and Grafana for visualization and dashboards. Set up alerts for error rates latency and resource thresholds. Implement distributed tracing with Jaeger or Zipkin to track requests across multiple services. Use log levels appropriately to control verbosity.,Use centralized logging tools like the ELK stack Elasticsearch Logstash and Kibana or Loki to aggregate logs from all services in one place.,Average,0.63,0.38,0.46,combined,System Design,23,"['architecture', 'scalability']",architecture,1,0.86946702,0.4809064349
201,OOP,Medium,What are the key skills needed for a great web developer?,"To be a skilled web developer you need proficiency in HTML CSS and JavaScript, knowledge of responsive designs and frameworks like Bootstrap, understanding of Version Control Systems like Git, ability to work with frontend libraries like React or Angular, backend development skills like NodeJS and ExpressJS, and data management skills such as SQL or NoSQL.","To be a skilled web developer you need proficiency in HTML CSS and JavaScript, knowledge of responsive designs and frameworks like Bootstrap, understanding of Version Control Systems like Git, ability to work with frontend libraries like React or Angular, backend development skills like NodeJS and ExpressJS, and data management skills such as SQL or NoSQL.",Good,0.92,1.0,0.88,combined,OOP,55,"['oop-principles', 'design']",oop-principles,1,1.0,1.0
202,Python,Medium,"Define the term ""DRY"" in software development.",DRY (Don't Repeat Yourself) advocates for avoiding code duplication by reusing existing code.,DRY (Don't Repeat Yourself) advocates for avoiding code duplication by reusing existing code.,Good,0.9,1.0,0.85,combined,Python,13,"['python-core', 'syntax']",python-core,1,1.0000001192,1.0
203,CN,Hard,Create a secure and scalable authentication system for a web application.,"Implement OAuth for third-party integrations, use JWT for stateless authentication, and ensure protection against common security vulnerabilities.","Implement OAuth for third-party integrations, use JWT for stateless authentication, and ensure protection against common security vulnerabilities.",Good,0.9,1.0,0.85,combined,CN,17,"['networking', 'protocols']",networking,1,1.0000001192,1.0
204,OS,Medium,What is the Kubernetes architecture?,"Kubernetes uses a master-worker architecture. The master node contains the API server which handles all communication, etcd which stores cluster state, scheduler which assigns pods to nodes, and controller manager which maintains desired state. Worker nodes contain kubelet which manages pods on the node, kube-proxy which handles networking, and the container runtime like Docker or containerd. Users interact with the cluster through kubectl commands to the API server.","Kubernetes uses a master-worker architecture. The master node contains the API server which handles all communication, etcd which stores cluster state, scheduler which assigns pods to nodes, and controller manager which maintains desired state. Worker nodes contain kubelet which manages pods on the node, kube-proxy which handles networking, and the container runtime like Docker or containerd. Users interact with the cluster through kubectl commands to the API server.",Good,0.91,1.0,0.87,combined,OS,68,"['concurrency', 'memory-management']",concurrency,1,1.0,1.0
205,Python,Easy,What is the difference between is and double equal to in Python?,Double equal to compares the values of two variables to check if they are equal. The is operator compares the identity of two variables meaning it checks if both variables point to the same object in memory by comparing their unique IDs. Two variables can have equal values but different identities.,Double equal to compares the values of two variables to check if they are equal.,Average,0.63,0.38,0.46,combined,Python,15,"['python-core', 'syntax']",python-core,1,0.8151850700000001,0.6960892589000001
206,Python,Easy,What is the difference between is and double equal to in Python?,Double equal to compares the values of two variables to check if they are equal. The is operator compares the identity of two variables meaning it checks if both variables point to the same object in memory by comparing their unique IDs. Two variables can have equal values but different identities.,Double equal to compares the values of two variables to check if they are equal. The is operator compares the identity of two variables meaning it checks if both variables point to the same object in memory by comparing their unique IDs. Two variables can have equal values but different identities.,Good,0.91,1.0,0.87,combined,Python,51,"['python-core', 'syntax']",python-core,1,1.0,1.0
207,OS,Medium,What is the difference between ENTRYPOINT and CMD in a Dockerfile?,CMD provides default commands that can be overridden when running docker container run with additional arguments. ENTRYPOINT sets the main executable that always runs and cannot be overridden from the command line. If you use both together ENTRYPOINT sets the executable and CMD provides default arguments to that executable. ENTRYPOINT is used when you want the container to always run as a specific executable while CMD is for providing defaults that users can change.,CMD provides default commands that can be overridden when running docker container run with additional arguments. ENTRYPOINT sets the main executable that always runs and cannot be overridden from the command line. If you use both together ENTRYPOINT sets the executable and CMD provides default arguments to that executable. ENTRYPOINT is used when you want the container to always run as a specific executable while CMD is for providing defaults that users can change.,Good,0.91,1.0,0.87,combined,OS,74,"['concurrency', 'memory-management']",concurrency,1,1.0,1.0
208,OS,Medium,What is the difference between ENTRYPOINT and CMD in a Dockerfile?,CMD provides default commands that can be overridden when running docker container run with additional arguments. ENTRYPOINT sets the main executable that always runs and cannot be overridden from the command line. If you use both together ENTRYPOINT sets the executable and CMD provides default arguments to that executable. ENTRYPOINT is used when you want the container to always run as a specific executable while CMD is for providing defaults that users can change.,CMD provides default commands that can be overridden when running docker container run with additional arguments.,Average,0.63,0.38,0.46,combined,OS,16,"['concurrency', 'memory-management']",concurrency,1,0.7405931354,0.5273964467
209,Python,Easy,What are Python built-in packages you know?,"Some commonly used Python built-in and external packages include pandas for data manipulation and analysis, numpy for numerical computing, matplotlib for data visualization, mysql-client for SQL database connectivity, and scikit-learn for machine learning. These packages provide ready-made functions that save time and effort in development.","Some commonly used Python built-in and external packages include pandas for data manipulation and analysis, numpy for numerical computing, matplotlib for data visualization, mysql-client for SQL database connectivity, and scikit-learn for machine learning.",Average,0.63,0.38,0.46,combined,Python,33,"['python-core', 'syntax']",python-core,1,0.9785870314,0.8185544416
210,Python,Easy,What are Python built-in packages you know?,"Some commonly used Python built-in and external packages include pandas for data manipulation and analysis, numpy for numerical computing, matplotlib for data visualization, mysql-client for SQL database connectivity, and scikit-learn for machine learning. These packages provide ready-made functions that save time and effort in development.","Some commonly used Python built-in and external packages include pandas for data manipulation and analysis, numpy for numerical computing, matplotlib for data visualization, mysql-client for SQL database connectivity, and scikit-learn for machine learning. These packages provide ready-made functions that save time and effort in development.",Good,0.91,1.0,0.87,combined,Python,45,"['python-core', 'syntax']",python-core,1,1.0,1.0
211,DBMS,Easy,What is ORM in Django?,"ORM stands for Object Relational Mapping. It allows developers to interact with the database using Python objects and functions instead of writing raw SQL queries. In Django you define database tables as Python classes in the models file. Built-in ORM functions like dot all for fetching all records, get for fetching a specific record, and filter instead of the SQL WHERE clause allow database operations without SQL syntax.",ORM stands for Object Relational Mapping.,Poor,0.63,0.38,0.46,combined,"DBMS,Python",6,"['sql', 'relational']",sql,1,0.7059523463,0.2404383841
212,DBMS,Easy,What is ORM in Django?,"ORM stands for Object Relational Mapping. It allows developers to interact with the database using Python objects and functions instead of writing raw SQL queries. In Django you define database tables as Python classes in the models file. Built-in ORM functions like dot all for fetching all records, get for fetching a specific record, and filter instead of the SQL WHERE clause allow database operations without SQL syntax.","ORM stands for Object Relational Mapping. It allows developers to interact with the database using Python objects and functions instead of writing raw SQL queries. In Django you define database tables as Python classes in the models file. Built-in ORM functions like dot all for fetching all records, get for fetching a specific record, and filter instead of the SQL WHERE clause allow database operations without SQL syntax.",Good,0.91,1.0,0.87,combined,"DBMS,Python",68,"['sql', 'relational']",sql,1,1.0,1.0
213,Python,Easy,What is a constructor in Python and why do you use it?,A constructor in Python is a special member function called init with double underscores. It is used to initialize the attributes of a class when an object is created. Without a constructor you cannot access the attributes of the class using the self keyword. The constructor runs automatically when an object is instantiated and sets up the initial state of the object.,A constructor in Python is a special member function called init with double underscores.,Average,0.63,0.38,0.46,combined,Python,14,"['python-core', 'syntax']",python-core,1,0.8774296045000001,0.4198780092
214,Python,Easy,What is a constructor in Python and why do you use it?,A constructor in Python is a special member function called init with double underscores. It is used to initialize the attributes of a class when an object is created. Without a constructor you cannot access the attributes of the class using the self keyword. The constructor runs automatically when an object is instantiated and sets up the initial state of the object.,A constructor in Python is a special member function called init with double underscores. It is used to initialize the attributes of a class when an object is created. Without a constructor you cannot access the attributes of the class using the self keyword. The constructor runs automatically when an object is instantiated and sets up the initial state of the object.,Good,0.91,1.0,0.87,combined,Python,62,"['python-core', 'syntax']",python-core,1,1.0,1.0
