skill,difficulty,question,ideal_answer,answer,label,cos_similarity,length_ratio,aligned_score,source,skills_multi,word_count
CN,Easy,What is REST API and why do you use it?,REST API is used to enable communication between two different applications running on different systems. When two systems are on different computers you cannot directly create objects and access methods from another system. REST API exposes endpoints that other systems can call to get or send data in JSON format. It follows standard HTTP methods like GET POST PUT and DELETE.,REST API is used.,Poor,0.27,0.07,0.11,combined,CN,4
Python,Easy,What is type casting in Python?,Type casting means changing the data type of a variable from one type to another. For example you can convert a list into a tuple using the tuple function or convert an integer to a string. It is needed when you want data in a specific format for operations or when functions require a particular data type as input.,Type casting means changing.,Poor,0.27,0.07,0.11,combined,Python,4
CN,Medium,What is the difference between NAT Gateway and NAT Instance?,NAT Gateway is an AWS managed service that provides internet access to resources in private subnets. It is highly available automatically scales up to 45 Gbps and requires no administration. NAT Instance is an EC2 instance configured to perform NAT functionality. It requires manual setup configuration and scaling. NAT Instance bandwidth depends on the EC2 instance type chosen. NAT Gateway is preferred for production workloads because it is managed highly available and scalable while NAT Instance is used when custom configurations are needed.,NAT Gateway is an AWS managed service that provides internet access to resources in private subnets. It is highly available automatically scales up to 45 Gbps and requires no administration. NAT Instance is an EC2 instance configured to perform NAT functionality. It requires manual setup configuration and scaling. NAT Instance bandwidth depends on the EC2 instance type chosen. NAT Gateway is preferred for production workloads because it is managed highly available and scalable while NAT Instance is used when custom configurations are needed.,Good,0.91,1.0,0.87,combined,CN,83
System Design,Medium,What is the event loop in Node.js?,The event loop is a mechanism in Node.js that handles asynchronous operations allowing non-blocking IO even though JavaScript is single threaded. It continuously checks if any asynchronous tasks like file reads or HTTP requests are complete. When a task completes it adds the callback to the queue to be executed. The event loop processes tasks from the call stack and checks the callback queue executing completed async operations in order.,The event loop is a mechanism in Node.,Average,0.63,0.4,0.48,combined,System Design,8
HR,Easy,Tell me about a time when you had to work on a tight deadline.,Describe a specific situation where you faced time constraints or had to decide between quality and speed. Explain how you prioritized tasks identified the most critical requirements and made trade-offs. Describe how you communicated with stakeholders about the constraints and what you ultimately decided to do. Share the impact of your decision on the project and team.,Describe a specific situation where you faced time constraints or had to decide between quality and speed. Explain how you prioritized tasks identified the most critical requirements and made trade-offs. Describe how you communicated with stakeholders about the constraints and what you ultimately decided to do. Share the impact of your decision on the project and team.,Good,0.91,1.0,0.87,combined,HR,57
OOP,Medium,What is the difference between Java and JavaScript?,"Java is a compiled, statically-typed language used for server-side, mobile, and desktop apps. JavaScript is an interpreted, dynamically-typed language for web development.","Java is a compiled, statically-typed language used for server-side, mobile, and desktop apps. JavaScript is an interpreted, dynamically-typed language for web development.",Good,0.9,1.0,0.85,combined,OOP,22
OOP,Medium,Describe what a JavaScript scope is and list its various forms.,"Scope in JavaScript describes how variables and functions are visible and accessible inside the code. There are three types: global scope where variables declared outside any block or function can be accessed from anywhere, function scope where variables declared inside a function are only accessible within that function, and block scope where variables declared with const and let are restricted to the block in which they are defined.",Scope in JavaScript describes how variables and functions are visible and accessible inside the code.,Average,0.63,0.4,0.48,combined,OOP,15
OS,Medium,What is the difference between virtualization and containerization?,Virtualization uses a hypervisor to create multiple virtual machines on a single physical server where each VM has its own complete operating system including the kernel. Containerization uses a container engine like Docker where multiple containers share the host operating system kernel but each container has its own isolated filesystem and libraries. Containers are much more lightweight and faster than VMs because they do not need a full OS. VMs provide stronger isolation while containers are more portable and efficient.,Virtualization uses a hypervisor to create multiple virtual machines on a single physical server where each VM has its own complete operating system including the kernel. Containerization uses a container engine like Docker where multiple containers share the host operating system kernel but each container has its own isolated filesystem and libraries. Containers are much more lightweight and faster than VMs because they do not need a full OS. VMs provide stronger isolation while containers are more portable and efficient.,Good,0.91,1.0,0.87,combined,OS,80
HR,Easy,What are you looking for in your next role?,Share what specifically excites you about this role and company. Mention whether you are looking for mentorship learning opportunities technical challenges or leadership experience. Explain how this role aligns with your career goals. This helps establish a good working relationship with your future manager by setting clear expectations about what you value and what motivates you.,Share what specifically excites you about this role and company. Mention whether you are looking for mentorship learning opportunities technical challenges or leadership experience. Explain how this role aligns with your career goals. This helps establish a good working relationship with your future manager by setting clear expectations about what you value and what motivates you.,Good,0.91,1.0,0.87,combined,HR,56
System Design,Medium,What is a Terraform state file?,The Terraform state file records the current state of infrastructure managed by Terraform. It maps resources defined in configuration to real-world infrastructure. Terraform uses the state file to plan changes by comparing desired state in configuration with current state. State files should be stored in remote backends like AWS S3 with DynamoDB locking to enable team collaboration and prevent conflicts. Never delete the state file as Terraform will lose track of existing resources.,The Terraform state file records the current state of infrastructure managed by Terraform.,Average,0.63,0.38,0.46,combined,System Design,13
Python,Medium,What are the differences between Python 2 and Python 3?,"Python 3 has print as a function, true division, Unicode support by default, and different syntax for exceptions, unlike Python 2.",Python 3 has print.,Poor,0.3,0.1,0.15,combined,Python,4
OOP,Medium,State difference between SVG and Canvas.,SVG uses XML based tags to define shapes and is scalable without quality loss. Elements are part of the DOM allowing easy manipulation styling and animation using CSS or JavaScript. Canvas provides a drawing context through JavaScript for immediate mode bitmap graphics. It renders graphics directly onto the canvas without retaining objects making post rendering manipulation difficult and is not inherently scalable without loss of quality.,SVG uses XML based.,Poor,0.28,0.08,0.12,combined,OOP,4
CN,Medium,Explain the concept of Cross-Site Scripting (XSS).,"XSS injects malicious scripts into web apps, executed by users' browsers. Prevent with input validation, output encoding, and CSP.","XSS injects malicious scripts into web apps, executed by users' browsers.",Average,0.65,0.45,0.5,combined,CN,11
System Design,Medium,How do you run a specific task in an Ansible Playbook?,You can run specific tasks in an Ansible Playbook using tags. Assign tags to individual tasks in the Playbook using the tags keyword. When running the Playbook use the dash dash tags flag followed by the tag name to run only tasks with that specific tag. To skip specific tasks use dash dash skip-tags. This allows selective execution of tasks without running the entire Playbook which is useful for testing or applying specific changes.,You can run specific tasks in an Ansible Playbook using tags. Assign tags to individual tasks in the Playbook using the tags keyword. When running the Playbook use the dash dash tags flag followed by the tag name to run only tasks with that specific tag. To skip specific tasks use dash dash skip-tags. This allows selective execution of tasks without running the entire Playbook which is useful for testing or applying specific changes.,Good,0.91,1.0,0.87,combined,System Design,74
System Design,Hard,Design a scalable notification system for a social network.,"Focus on system architecture, push vs. pull models, handling peak loads, database optimization, and message queuing.","Focus on system architecture,.",Poor,0.3,0.1,0.15,combined,"CN,System Design",4
Python,Medium,What is the difference between compilation and interpretation?,Compilation translates source code into machine code creating an executable file. Interpretation translates and executes code line by line without an executable.,Compilation translates source code into machine code creating an executable file.,Average,0.65,0.45,0.5,combined,Python,11
System Design,Medium,What is the difference between horizontal and vertical scaling in AWS?,Horizontal scaling adds more EC2 instances to distribute workload and uses a load balancer to distribute traffic equally among instances. It is best for stateless applications like microservices and web APIs and is more cost effective with autoscaling groups. Vertical scaling increases the power of a single EC2 instance by adding more CPU RAM or storage making it bigger. It is preferred for stateful or monolithic applications but is more expensive and has limits on how much you can scale a single instance.,Horizontal scaling adds more EC2 instances to distribute workload and uses a load balancer to distribute traffic equally among instances.,Average,0.63,0.38,0.46,combined,System Design,20
System Design,Hard,Design a real-time multiplayer online game architecture.,"Focus on handling high network traffic, efficient state synchronization, latency reduction, and scalability.","Focus on handling high network traffic, efficient state synchronization, latency reduction, and scalability.",Average,0.65,0.45,0.5,combined,System Design,13
System Design,Hard,Design an efficient parking lot management system.,"Use object-oriented design principles, focus on efficiently handling different vehicle sizes, and optimizing space usage.","Use object-oriented design principles,.",Poor,0.3,0.1,0.15,combined,System Design,4
System Design,Medium,What is AWS Elastic Beanstalk and when do you use it?,AWS Elastic Beanstalk is a fully managed Platform as a Service that enables developers to deploy and scale web applications without managing the underlying infrastructure. It supports multiple programming languages including Java Python Node.js PHP Ruby and Go. Beanstalk automatically handles OS updates security patching load balancing autoscaling and monitoring. You use Beanstalk when you want to deploy applications quickly without worrying about infrastructure. Use EC2 instead when you need full control over the server environment.,AWS Elastic Beanstalk is a fully managed Platform as a Service that enables developers to deploy and scale web applications without managing the underlying infrastructure. It supports multiple programming languages including Java Python Node.js PHP Ruby and Go. Beanstalk automatically handles OS updates security patching load balancing autoscaling and monitoring. You use Beanstalk when you want to deploy applications quickly without worrying about infrastructure. Use EC2 instead when you need full control over the server environment.,Good,0.91,1.0,0.87,combined,System Design,76
System Design,Hard,Build a scalable image processing pipeline for a photo-sharing app.,"Implement distributed processing, efficient storage, and consider ML techniques for feature extraction.","Implement distributed processing, efficient.",Poor,0.3,0.1,0.15,combined,System Design,4
System Design,Medium,What is AWS CloudFormation?,AWS CloudFormation is an Infrastructure as Code service that allows defining and managing AWS resources using templates written in JSON or YAML format. Instead of manually creating resources through the console you write templates that describe your entire infrastructure. CloudFormation creates identical environments from the same template ensuring consistency. It tracks changes through change sets before applying them and supports rollback if deployment fails. It is used to create replicable infrastructure and manage resources as version controlled code.,AWS CloudFormation is an.,Poor,0.27,0.07,0.11,combined,System Design,4
System Design,Medium,How do you troubleshoot a failed Jenkins build?,"First examine the build logs and console output to identify specific error messages or warnings. Check the Jenkins system logs for relevant information. Common failures include version incompatibilities between tools, missing credentials or permissions, network issues, insufficient disk space, or code compilation errors. If it is a code issue notify the developer. Check system resources using top or df commands. Enable verbose logging for more detailed output. Review environment variables and tool configurations.","First examine the build logs and console output to identify specific error messages or warnings. Check the Jenkins system logs for relevant information. Common failures include version incompatibilities between tools, missing credentials or permissions, network issues, insufficient disk space, or code compilation errors. If it is a code issue notify the developer. Check system resources using top or df commands. Enable verbose logging for more detailed output. Review environment variables and tool configurations.",Good,0.91,1.0,0.87,combined,System Design,73
OOP,Medium,What is peer programming?,Peer programming is an agile software development technique where two programmers collaborate at a single workstation. The driver writes the code and the observer or navigator reviews each line of code as it is typed offering quick feedback making suggestions for enhancement and discussing design choices.,Peer programming is an.,Poor,0.28,0.08,0.12,combined,OOP,4
Python,Easy,What is the difference between global and local variables in Python?,Global variables are declared outside any class or function and are accessible both inside and outside functions and classes throughout the program. Local variables are declared inside a function and their scope is limited to that function only. They cannot be accessed outside the function where they are defined.,Global variables are declared outside any class or function and are accessible both inside and outside functions and classes throughout the program. Local variables are declared inside a function and their scope is limited to that function only. They cannot be accessed outside the function where they are defined.,Good,0.91,1.0,0.87,combined,Python,49
OOP,Hard,"What is Git rebase, and when would you use it?",Git rebase re-applies commits onto another base for a cleaner history. Use with caution to maintain a linear project history.,Git rebase re-applies commits onto another base for a cleaner history. Use with caution to maintain a linear project history.,Good,0.9,1.0,0.85,combined,OOP,20
OOP,Hard,"What is Git rebase, and when would you use it?",Git rebase re-applies commits onto another base for a cleaner history. Use with caution to maintain a linear project history.,Git rebase re-applies commits onto another base for a cleaner history.,Average,0.65,0.45,0.5,combined,OOP,11
CN,Hard,"Optimize a global, high-traffic content delivery network.","Use strategies like caching, edge locations, load balancing, and optimizing routing and data compression.","Use strategies like caching, edge locations, load balancing, and optimizing routing and data compression.",Average,0.65,0.45,0.5,combined,CN,14
OOP,Medium,Explain DOM document object model.,A programming interface of web documents is called Document Object Model or DOM. It represents HTML and XML documents as a tree like model with each node representing an element attribute or text segment of the document.,A programming interface of web documents is called Document Object Model or DOM. It represents HTML and XML documents as a tree like model with each node representing an element attribute or text segment of the document.,Good,0.92,1.0,0.88,combined,OOP,37
CN,Hard,Design a secure mobile payment system for developing countries.,"Focus on security protocols, offline capabilities, user authentication, and low-resource optimizations.","Focus on security protocols, offline capabilities, user authentication, and low-resource optimizations.",Good,0.9,1.0,0.85,combined,CN,11
CN,Medium,What is the difference between public subnet and private subnet in VPC?,A public subnet has a route to an internet gateway allowing resources in it to communicate directly with the internet. Web servers and load balancers are placed in public subnets as they need to be accessible to users. A private subnet has no direct route to the internet and resources cannot be accessed directly from outside. Databases application servers and backend services are placed in private subnets for security. Private subnet resources access the internet through a NAT Gateway if outbound internet access is needed.,A public subnet has a route to an internet gateway allowing resources in it to communicate directly with the internet.,Average,0.63,0.38,0.46,combined,CN,20
OOP,Medium,What is the difference between SQL and NoSQL databases?,"SQL databases are structured, use SQL, and are better for complex queries. NoSQL databases are flexible, scale well, and are good for hierarchical data storage.","SQL databases are structured, use SQL, and are better for complex queries. NoSQL databases are flexible, scale well, and are good for hierarchical data storage.",Good,0.9,1.0,0.85,combined,OOP,25
Python,Medium,"What is an abstract class, and how is it different from an interface?",An abstract class can't be instantiated and can have abstract and concrete methods. An interface only has method signatures without implementations.,An abstract class can't be instantiated and can have abstract and concrete methods. An interface only has method signatures without implementations.,Good,0.9,1.0,0.85,combined,Python,21
System Design,Medium,What is AWS Lambda and how does serverless work?,"AWS Lambda is a serverless compute service that runs code in response to events without managing servers. Lambda functions are triggered by events like file uploads to S3 API calls or database changes. Common use cases include image compression when files are uploaded, sending automated emails on user signup, and data processing pipelines. Serverless does not mean no servers exist but means you do not manage the servers. You only pay for the number of executions not for server uptime making it cost effective for event-driven workloads.","AWS Lambda is a serverless compute service that runs code in response to events without managing servers. Lambda functions are triggered by events like file uploads to S3 API calls or database changes. Common use cases include image compression when files are uploaded, sending automated emails on user signup, and data processing pipelines. Serverless does not mean no servers exist but means you do not manage the servers. You only pay for the number of executions not for server uptime making it cost effective for event-driven workloads.",Good,0.91,1.0,0.87,combined,System Design,87
Python,Hard,Define encapsulation and give an example.,"Encapsulation bundles data and methods in a class, restricting direct data access. Example: class with private data and public methods.",Encapsulation bundles data and.,Poor,0.3,0.1,0.15,combined,Python,4
System Design,Medium,How is GraphQL different from REST?,GraphQL uses a single endpoint for all queries while REST uses multiple endpoints for different resources. In GraphQL the client defines the structure of the response requesting only the fields needed reducing over fetching and under fetching. In REST the server defines the structure and returns all fields for a resource even if not needed. GraphQL is more flexible and efficient for complex data requirements.,GraphQL uses a single.,Poor,0.28,0.08,0.12,combined,"CN,System Design",4
System Design,Medium,How do you set up a Jenkins job to automatically trigger when code is pushed to GitHub?,In Jenkins create a freestyle or pipeline job and specify the GitHub repository URL under source code management. Enable the Poll SCM option or configure GitHub webhooks. In GitHub repository settings add a webhook pointing to your Jenkins URL followed by slash github-webhook. When code is pushed GitHub sends a notification to Jenkins which triggers the build. The job then pulls the latest code runs the build steps and deploys if successful.,In Jenkins create a freestyle or pipeline job and specify the GitHub repository URL under source code management.,Average,0.63,0.38,0.46,combined,System Design,18
OOP,Medium,What do you understand by a higher order component in React?,A higher order component is a function that takes a component as an argument and returns a new component. It is a pattern for reusing component logic across multiple components. For example a loading higher order component can wrap any component and display a loading screen while data is being fetched. When isLoading is true it renders the loading state and when false it renders the wrapped component.,A higher order component.,Poor,0.28,0.08,0.12,combined,OOP,4
CN,Hard,Create a secure and scalable authentication system for a web application.,"Implement OAuth for third-party integrations, use JWT for stateless authentication, and ensure protection against common security vulnerabilities.","Implement OAuth for third-party integrations, use JWT for stateless authentication, and ensure protection against common security vulnerabilities.",Good,0.9,1.0,0.85,combined,CN,17
Python,Medium,What is the purpose of a constructor?,"A constructor initializes object properties upon class instantiation, ensuring a well-defined state.",A constructor initializes object.,Poor,0.3,0.1,0.15,combined,Python,4
System Design,Medium,How do you optimize costs for AWS applications?,Use AWS Cost Explorer to monitor spending and identify unused or underutilized resources. Set up AWS Budgets to receive alerts when spending exceeds defined thresholds. Use Auto Scaling to automatically terminate instances when not needed. Choose Reserved Instances for predictable long-term workloads to get significant discounts. Use Spot Instances for fault-tolerant batch jobs at lower cost. Use AWS Lambda for event-driven workloads to avoid paying for idle servers. Use CloudFront CDN to cache content closer to users reducing data transfer costs.,Use AWS Cost Explorer to monitor spending and identify unused or underutilized resources. Set up AWS Budgets to receive alerts when spending exceeds defined thresholds. Use Auto Scaling to automatically terminate instances when not needed. Choose Reserved Instances for predictable long-term workloads to get significant discounts. Use Spot Instances for fault-tolerant batch jobs at lower cost. Use AWS Lambda for event-driven workloads to avoid paying for idle servers. Use CloudFront CDN to cache content closer to users reducing data transfer costs.,Good,0.91,1.0,0.87,combined,System Design,81
HR,Easy,Tell me about yourself.,Keep it short simple and clear. Mention a few key points about your background experience and what is relevant for the role you are interviewing for. Focus on what you want the interviewer to remember after the interview. Briefly cover your education technical skills and most relevant experience without going into too much detail.,Keep it short simple and clear. Mention a few key points about your background experience and what is relevant for the role you are interviewing for. Focus on what you want the interviewer to remember after the interview. Briefly cover your education technical skills and most relevant experience without going into too much detail.,Good,0.91,1.0,0.87,combined,HR,54
OOP,Medium,Explain the role of Git branching strategies like GitFlow.,"GitFlow organizes branches and releases, defining naming conventions and branch purposes for structured and organized development.",GitFlow organizes branches and.,Poor,0.3,0.1,0.15,combined,OOP,4
OOP,Medium,What is the difference between cookies and local storage?,Cookies have limited storage of about 4KB per cookie and are sent with every HTTP request making them accessible from both server and client side. They have an expiration date and are primarily used for session management personalization and tracking user behavior. Local storage has a larger capacity of about 5MB per domain and is only accessible client side. It persists until explicitly deleted and is used for storing larger amounts of data for web applications.,Cookies have limited storage of about 4KB per cookie and are sent with every HTTP request making them accessible from both server and client side.,Average,0.63,0.4,0.48,combined,OOP,25
OOP,Medium,What is DOM document object model?,DOM is a programming interface for web documents that represents the structure of a web page as a tree model where each element is a node. Through the DOM programming languages like JavaScript can interact with and modify the content structure and style of a web page dynamically. The document is the root node and HTML elements form parent and child relationships in a hierarchical tree structure.,DOM is a programming interface for web documents that represents the structure of a web page as a tree model where each element is a node. Through the DOM programming languages like JavaScript can interact with and modify the content structure and style of a web page dynamically. The document is the root node and HTML elements form parent and child relationships in a hierarchical tree structure.,Good,0.92,1.0,0.88,combined,OOP,67
OOP,Medium,What is use strict in JavaScript?,Use strict enforces stricter parsing and error handling in JavaScript code helping to catch common mistakes prevent certain actions that could lead to bugs and make code more predictable. It prevents variables from becoming accidental global variables when declared without var let or const. Without use strict undeclared variables inside functions become global variables which can cause unexpected behavior in other parts of the code.,Use strict enforces stricter parsing and error handling in JavaScript code helping to catch common mistakes prevent certain actions that could lead to bugs and make code more predictable. It prevents variables from becoming accidental global variables when declared without var let or const. Without use strict undeclared variables inside functions become global variables which can cause unexpected behavior in other parts of the code.,Good,0.92,1.0,0.88,combined,OOP,65
System Design,Medium,What is server side rendering and how is it beneficial?,"Server side rendering is when a web page is rendered on the server before being sent to the browser. The server generates HTML with content already included instead of sending a blank HTML file with JavaScript that builds on the client. Benefits include faster initial load since HTML is pre-rendered, better SEO since search engines can easily index pre-rendered content, improved performance as clients do less rendering work, and reduced interaction time as users see content without waiting for JavaScript.","Server side rendering is when a web page is rendered on the server before being sent to the browser. The server generates HTML with content already included instead of sending a blank HTML file with JavaScript that builds on the client. Benefits include faster initial load since HTML is pre-rendered, better SEO since search engines can easily index pre-rendered content, improved performance as clients do less rendering work, and reduced interaction time as users see content without waiting for JavaScript.",Good,0.92,1.0,0.88,combined,System Design,80
CN,Hard,Design a fraud detection system for online transactions.,"Use machine learning for anomaly detection, implement rule-based systems for known fraud patterns, ensure real-time processing.","Use machine learning for anomaly detection, implement rule-based systems for known fraud patterns, ensure real-time processing.",Good,0.9,1.0,0.85,combined,CN,16
CN,Medium,What is CORS and how do you handle it in Express?,CORS is cross origin resource sharing a security mechanism that controls which domains can access resources on a server. By default browsers block cross origin requests for security. CORS uses HTTP headers to specify which origins are permitted to make requests to the server. In Express you can handle CORS using the cors middleware which adds the necessary headers allowing specific domains or all domains to access the API.,CORS is cross origin resource sharing a security mechanism that controls which domains can access resources on a server. By default browsers block cross origin requests for security. CORS uses HTTP headers to specify which origins are permitted to make requests to the server. In Express you can handle CORS using the cors middleware which adds the necessary headers allowing specific domains or all domains to access the API.,Good,0.92,1.0,0.88,combined,CN,69
OS,Medium,What is container orchestration and why do you need it?,"Container orchestration is the automated management of multiple containers across multiple servers. When running microservices with many containers you need to ensure they are always running, automatically restart failed containers, scale containers up or down based on load, manage networking between containers, and handle deployments. Tools like Kubernetes handle all these tasks automatically. Without orchestration managing hundreds of containers manually would be impossible.","Container orchestration is the automated management of multiple containers across multiple servers. When running microservices with many containers you need to ensure they are always running, automatically restart failed containers, scale containers up or down based on load, manage networking between containers, and handle deployments. Tools like Kubernetes handle all these tasks automatically. Without orchestration managing hundreds of containers manually would be impossible.",Good,0.91,1.0,0.87,combined,OS,63
CN,Medium,What is a DDoS (Distributed Denial of Service) attack?,"A DDoS attack overwhelms a target with traffic, causing unavailability. Mitigate with DDoS protection, rate limiting, and traffic analysis.","A DDoS attack overwhelms a target with traffic, causing unavailability. Mitigate with DDoS protection, rate limiting, and traffic analysis.",Good,0.9,1.0,0.85,combined,CN,19
CN,Hard,Design a fraud detection system for online transactions.,"Use machine learning for anomaly detection, implement rule-based systems for known fraud patterns, ensure real-time processing.",Use machine learning for.,Poor,0.3,0.1,0.15,combined,CN,4
System Design,Medium,What is the difference between continuous delivery and continuous deployment?,Continuous delivery means the code is automatically built and tested and is always in a deployable state but deployment to production requires manual approval. Continuous deployment goes one step further where every code change that passes automated tests is automatically deployed to production without human intervention. Most companies use continuous delivery where humans approve production deployments while staging deployments are fully automated.,Continuous delivery means the code is automatically built and tested and is always in a deployable state but deployment to production requires manual approval.,Average,0.63,0.38,0.46,combined,System Design,24
CN,Hard,Explain the workings of the TCP protocol for a low-latency network.,"Focus on the three-way handshake, congestion control (like TCP Fast Open, and CUBIC), and optimizing for reduced latency.","Focus on the three-way handshake, congestion control (like TCP Fast Open, and CUBIC), and optimizing for reduced latency.",Good,0.9,1.0,0.85,combined,CN,18
System Design,Medium,How do you optimize costs for AWS applications?,Use AWS Cost Explorer to monitor spending and identify unused or underutilized resources. Set up AWS Budgets to receive alerts when spending exceeds defined thresholds. Use Auto Scaling to automatically terminate instances when not needed. Choose Reserved Instances for predictable long-term workloads to get significant discounts. Use Spot Instances for fault-tolerant batch jobs at lower cost. Use AWS Lambda for event-driven workloads to avoid paying for idle servers. Use CloudFront CDN to cache content closer to users reducing data transfer costs.,Use AWS Cost Explorer.,Poor,0.27,0.07,0.11,combined,System Design,4
DBMS,Medium,Explain the difference between INNER JOIN and LEFT JOIN in SQL.,INNER JOIN returns matching rows from both tables; LEFT JOIN returns all rows from the left table and matching rows from the right.,INNER JOIN returns matching.,Poor,0.3,0.1,0.15,combined,DBMS,4
OOP,Medium,What is middleware in Express.js?,Middleware in Express.js is a function that has access to the request object response object and the next middleware function in the request response cycle. It sits between the request and response processing requests before they reach the route handler. Middleware can handle logging parsing request data authenticating users changing request format and error handling. Multiple middlewares can be chained and each calls next to pass control to the following middleware.,Middleware in Express.js is.,Poor,0.28,0.08,0.12,combined,OOP,4
Python,Medium,What is a RESTful API?,"RESTful API is a web service implementation using HTTP methods to perform CRUD operations on resources, adhering to stateless, client-server architecture.","RESTful API is a web service implementation using HTTP methods to perform CRUD operations on resources, adhering to stateless, client-server architecture.",Average,0.65,0.45,0.5,combined,Python,21
System Design,Medium,How do you troubleshoot a failed Jenkins build?,"First examine the build logs and console output to identify specific error messages or warnings. Check the Jenkins system logs for relevant information. Common failures include version incompatibilities between tools, missing credentials or permissions, network issues, insufficient disk space, or code compilation errors. If it is a code issue notify the developer. Check system resources using top or df commands. Enable verbose logging for more detailed output. Review environment variables and tool configurations.",First examine the build.,Poor,0.27,0.07,0.11,combined,System Design,4
System Design,Hard,Design a real-time multiplayer online game architecture.,"Focus on handling high network traffic, efficient state synchronization, latency reduction, and scalability.",Focus on handling high.,Poor,0.3,0.1,0.15,combined,System Design,4
System Design,Hard,Implement a distributed graph processing framework.,"Discuss vertex-centric computation, message passing between nodes, and optimizations for large-scale processing.","Discuss vertex-centric computation, message.",Poor,0.3,0.1,0.15,combined,System Design,4
System Design,Medium,What is chaos engineering and why is it used?,Chaos engineering is the practice of deliberately injecting failures into a system to test its resilience and discover weaknesses before they cause real outages. Examples include killing servers simulating network failures and slowing down services. It helps identify unexpected failure modes validates disaster recovery procedures improves auto scaling responses and builds confidence in system reliability. Netflix pioneered chaos engineering with Chaos Monkey which randomly terminates production instances to ensure services handle failures gracefully.,Chaos engineering is the practice of deliberately injecting failures into a system to test its resilience and discover weaknesses before they cause real outages.,Average,0.63,0.38,0.46,combined,System Design,24
System Design,Medium,How do you run a specific task in an Ansible Playbook?,You can run specific tasks in an Ansible Playbook using tags. Assign tags to individual tasks in the Playbook using the tags keyword. When running the Playbook use the dash dash tags flag followed by the tag name to run only tasks with that specific tag. To skip specific tasks use dash dash skip-tags. This allows selective execution of tasks without running the entire Playbook which is useful for testing or applying specific changes.,You can run specific tasks in an Ansible Playbook using tags.,Average,0.63,0.38,0.46,combined,System Design,11
System Design,Hard,Design a chat application that can scale to millions of users.,"Consider websocket protocol for real-time communication, efficient message broadcasting, and scalable backend architecture.",Consider websocket protocol for.,Poor,0.3,0.1,0.15,combined,System Design,4
OS,Medium,How do you troubleshoot a Docker container that keeps crashing?,First check container logs using docker logs followed by the container name or ID to see error messages. Use docker inspect to get detailed configuration information. Check resource usage with docker stats to see if the container is running out of memory or CPU. If using Kubernetes use kubectl describe pod to see events and kubectl logs for container output. Review the Dockerfile and configuration for misconfigurations. SSH into the container using docker exec for direct investigation.,First check container logs.,Poor,0.27,0.07,0.11,combined,OS,4
OS,Hard,Write a custom memory allocator for a C++ application.,"Discuss memory pool allocation, handling fragmentation, and optimizing for allocation/deallocation speed.","Discuss memory pool allocation,.",Poor,0.3,0.1,0.15,combined,OS,4
OOP,Medium,Explain HTML5 web storage.,HTML5 web storage allows browsers to store data locally within a user's browser in key value pairs. It has two types session storage and local storage. This feature is useful for caching storing user preferences and enabling offline capabilities. However it has a size limit and is not suitable for sensitive data due to its client side nature.,HTML5 web storage allows browsers to store data locally within a user's browser in key value pairs.,Average,0.63,0.4,0.48,combined,OOP,17
Python,Medium,How can you handle errors in Node.js?,Errors in Node.js can be handled using try and catch blocks for synchronous code and async await operations. Promise rejections should always have a catch statement to handle rejected promises. Global error handling middleware in Express catches errors that propagate through the middleware chain. Error objects provide detailed information about what went wrong. Avoiding process.exit prevents abrupt termination that hides errors.,Errors in Node.,Average,0.63,0.4,0.48,combined,Python,3
OOP,Hard,Describe the differences between manual and automated testing.,Manual testing is human-driven; suitable for exploratory and UX testing. Automated testing uses tools for repetitive tasks; suitable for regression and performance testing.,Manual testing is human-driven; suitable for exploratory and UX testing. Automated testing uses tools for repetitive tasks; suitable for regression and performance testing.,Good,0.9,1.0,0.85,combined,OOP,23
System Design,Medium,What is Infrastructure as Code and why is it important?,"Infrastructure as Code is the practice of managing and provisioning infrastructure using machine readable configuration files instead of manual processes. Tools like Terraform and CloudFormation allow you to define servers networks and databases as code. IaC ensures consistency as the same configuration creates identical environments every time. It enables version control of infrastructure changes, faster provisioning through automation, reduced human errors, and easy disaster recovery by recreating infrastructure from code.",Infrastructure as Code is.,Poor,0.27,0.07,0.11,combined,System Design,4
OOP,Medium,What makes ID and class in HTML CSS differ from one another?,An ID is a unique identifier assigned to a specific HTML element ensuring its singular presence within a document. A class serves as a categorization tool allowing multiple HTML elements to share the same class. Each ID can be used only once per HTML document while classes are reusable and can be applied to multiple elements. In CSS an ID is accessed using #uniqueID and a class is accessed using .className selector.,An ID is a.,Poor,0.28,0.08,0.12,combined,"OOP,Python",4
System Design,Medium,What is the difference between stopping and terminating an EC2 instance?,Stopping an EC2 instance shuts it down temporarily but does not delete it. The instance can be restarted later though the public IP address may change. All data on EBS volumes is preserved. Terminating an EC2 instance permanently deletes it releasing all compute and storage resources. Data stored on instance storage is lost forever. In simple terms stop equals pause and terminate equals delete. Use stop when you want to temporarily save costs and terminate when you no longer need the instance.,Stopping an EC2 instance shuts it down temporarily but does not delete it.,Average,0.63,0.38,0.46,combined,System Design,13
CN,Easy,What is REST API and why do you use it?,REST API is used to enable communication between two different applications running on different systems. When two systems are on different computers you cannot directly create objects and access methods from another system. REST API exposes endpoints that other systems can call to get or send data in JSON format. It follows standard HTTP methods like GET POST PUT and DELETE.,REST API is used to enable communication between two different applications running on different systems.,Average,0.63,0.38,0.46,combined,CN,15
